gene,baseMean,log2FoldChange,lfcSE,pvalue,padj,gene_wb
ran-4,346.0263657107075,1.1054725256103652,0.3174223999642533,7.520384030630146e-5,0.002287154530070182,R05D11.3
sre-46,4.5634724345123505,-5.257687096709394,2.6581769639411816,7.519083151005608e-5,0.002287154530070182,Y54G9A.10
pbs-4,99.40799463672786,1.0693195024906692,0.30372378470543954,7.589475062409816e-5,0.002302736021877049,T20F5.2
T25B9.3,30.46679529561663,-1.757924101118105,0.7078105401606222,7.700179264525929e-5,0.0023308406482643626,T25B9.3
ZK1307.1,36.156193588472505,2.004113530763606,0.8841607874862055,7.827565510650525e-5,0.0023638514580758435,ZK1307.1
col-144,77.60707715609948,2.043707149310562,0.9113584965429011,7.868126564936489e-5,0.002370548879786356,B0222.6
peb-1,343.082492252845,1.5552399228887612,0.562998024455215,7.900492502369208e-5,0.0023747517673205344,T14F9.4
qars-1,112.60748518965647,1.0365186733932046,0.292860157083431,8.042275030231625e-5,0.0024030173550422455,Y41E3.4
srt-42,35.52389621405125,-2.1064984030782745,0.9554440900652285,8.050434256519969e-5,0.0024030173550422455,Y46H3A.1
F30H5.3,123.69859083137484,4.740277566644049,2.234997592692974,8.04020589262955e-5,0.0024030173550422455,F30H5.3
Y87G2A.2,181.4729724120207,1.7002018674215458,0.6704304401796598,8.13639531170542e-5,0.00242274814530391,Y87G2A.2
tre-2,178.7645393317019,-1.242502576643109,0.3790555712321182,8.154111632895672e-5,0.00242274814530391,T05A12.2
lbp-4,162.21109930358125,1.2662528651934446,0.39077367374277205,8.197817678218235e-5,0.0024301346887499803,ZK742.5
F23F12.12,106.90286036028698,-1.928019166855281,0.8374942264622143,8.231543333921164e-5,0.0024345355800668212,F23F12.12
test-1,55.02993438698875,1.4038227212462173,0.46647148896151264,8.262654151384103e-5,0.0024381447432974372,C54E4.2
col-128,8.929706745737072,5.054073837991692,2.54041780836566,8.513273523882892e-5,0.002506362148184244,F12F6.9
T22F7.3,8.689396670149137,5.024385983133605,2.5109634505449945,8.536723204598273e-5,0.0025075409048586498,T22F7.3
pqn-44,439.83782937440856,-1.2882833159614753,0.40353992438463876,8.558152002053077e-5,0.002508122046965328,F55A12.9
rdl-1,34.014480874298776,-1.4434919857246251,0.4936505328079388,8.646882065786064e-5,0.0025226593719074953,C46A5.8
skr-5,29.601710251193683,-3.176945709765017,1.5197194269895318,8.639855854203858e-5,0.0025226593719074953,F47H4.10
lpr-1,24.18231599761011,2.1681311863645742,1.0068958463607203,8.799730883622987e-5,0.002549944488636369,Y65B4BR.2
F01G4.4,36.30135365358989,4.644755570444967,2.2230326879366595,8.761567291867298e-5,0.002549944488636369,F01G4.4
