gene,baseMean_A,log2FoldChange_A,lfcSE_A,pvalue_A,padj_A,compared_condition_A,gene_wb,baseMean_B,log2FoldChange_B,lfcSE_B,pvalue_B,padj_B,compared_condition_B
cyp-29A2,87.76966197355216,-3.9553679798937496,0.5645495644313215,2.63021649889651e-13,4.73225709004164e-11,A,T19B10.1,87.76966197355216,-4.063901367345298,0.6900863058817316,3.129031949190838e-10,1.3478305121139533e-7,B
lec-9,731.4187646653274,3.0295635452888505,0.42914065927519685,2.6075275495542796e-13,4.73225709004164e-11,A,C16H3.2,731.4187646653274,2.6653451942038173,0.48410134892911744,1.1764508077140462e-8,3.378374569485503e-6,B
K11H12.4,85.53298030709466,6.8155527658161725,1.0581015096811186,2.9898831785225863e-13,5.307640618513295e-11,A,K11H12.4,85.53298030709466,3.187285708999221,0.8913428848884943,1.600963175219994e-5,0.0015204107760888462,B
ctl-3,623.9015440752908,-2.785222310265903,0.39830974327052177,3.2210141238078453e-13,5.642708163733901e-11,A,Y54G11A.13,623.9015440752908,-2.731488172908439,0.4516989659263952,4.906927001003606e-10,1.9727482186368165e-7,B
cyp-14A2,27.23051601850391,-6.266668809044413,0.9656742896327914,4.093023718124503e-13,6.901502900471148e-11,A,K09A11.3,27.23051601850391,-2.7804603442085387,1.6066371796733208,3.59742216849149e-4,0.016948636239912447,B
dhs-28,370.89471011173,-2.685057241167919,0.39014416397281126,5.787003433747295e-13,9.631020464613937e-11,A,M03A8.1,370.89471011173,-2.4250233670368693,0.4438485314063968,1.5790882004772334e-8,4.14030060564259e-6,B
fipr-5,56.1638948124456,4.810069104624709,0.7162486338077818,6.617285942277224e-13,1.0876857411787526e-10,A,C12D8.18,56.1638948124456,3.9937962405838934,0.8815532125207591,3.823688324860853e-7,6.406432401910782e-5,B
T16G12.1,66.99343365944166,4.719677626052978,0.704927830431681,8.628520667662377e-13,1.3840978815573117e-10,A,T16G12.1,66.99343365944166,3.7258456501389956,0.7746419176916144,1.5835953464379464e-7,2.9843349177168864e-5,B
Y53G8B.2,143.12064751925053,-4.374951787527098,0.6502658491506221,1.101384417956601e-12,1.7456943024612125e-10,A,Y53G8B.2,143.12064751925053,-2.5170139765094346,0.8932417902310745,9.351071632048153e-5,0.005783757689955526,B
nspc-17,133.84021645858394,4.711292509214004,0.7099729647304492,1.3022845477769182e-12,2.0191296219642665e-10,A,D1025.8,133.84021645858394,3.4921821757555884,0.8406427872002981,2.6948345170241855e-6,3.1555727291095826e-4,B
ctl-2,331.8316729839178,-3.0576699220879564,0.4509672044953636,1.7920734569136883e-12,2.6808613489156003e-10,A,Y54G11A.5,331.8316729839178,-2.549182809116203,0.5205408710294736,2.6748314241178107e-7,4.8150957919828235e-5,B
plin-1,3110.0153344870796,-3.120400857720031,0.4612614415234177,2.0452681689571063e-12,3.0256333779438796e-10,A,W01A8.1,3110.0153344870796,-2.553300754886903,0.5299293183599875,3.8244186463608025e-7,6.406432401910782e-5,B
acox-1.1,275.1466432484482,-3.09114629088092,0.457850877565417,2.2102816745521252e-12,3.2338121115370327e-10,A,F08A8.1,275.1466432484482,-2.8393689604815187,0.5274053117634555,2.076054956018508e-8,5.216520588445672e-6,B
ugt-36,84.99143385978844,-4.676992997071992,0.7129639449762442,2.2656758894016423e-12,3.2788270425536375e-10,A,F09G2.6,84.99143385978844,-2.2985741134338853,1.0861264019628019,3.076530671930439e-4,0.015145320993531846,B
C14C6.5,499.5013064735594,5.1940144084725945,0.8065840230741466,2.3949602553059027e-12,3.428656004208902e-10,A,C14C6.5,499.5013064735594,2.9240226619199174,1.1019431121774035,9.822858070487756e-5,0.005983509655967314,B
F55H2.7,96.19183573344101,-3.2874729891884305,0.4892969211758385,2.8619208541974093e-12,4.0535759843387557e-10,A,F55H2.7,96.19183573344101,-2.912166256426032,0.5550178758471905,4.071992262394477e-8,9.822459735347957e-6,B
F12A10.9,325.2373615884597,-5.3074490042189275,0.8523751900713387,7.945814528741505e-12,1.0906244807800454e-9,A,F12A10.9,325.2373615884597,-2.650806565110289,1.2806162265161711,2.7037350108695965e-4,0.01353101575356772,B
Y39G8B.7,236.8627342618158,4.825101110600703,0.7874272325575882,2.9271807197651494e-11,3.6422882339208597e-9,A,Y39G8B.7,236.8627342618158,3.931298892055507,0.8995694109585561,7.787392538865625e-7,1.1740467676407287e-4,B
nspc-14,321.52280309269196,3.654880261636878,0.5775128683774552,3.131892023996565e-11,3.825505541971584e-9,A,F42F12.7,321.52280309269196,4.266278038446288,0.7292903676760423,2.956470082441477e-10,1.320666135715802e-7,B
scl-25,129.02731698436705,3.872456117546601,0.6146673882468405,3.171517714957467e-11,3.838689714267611e-9,A,T19C9.5,129.02731698436705,3.286912030318503,0.6611817876944134,1.1918729786612344e-7,2.3958633326055248e-5,B
ttr-51,259.2973205303105,-2.7333119788494376,0.435784961159462,3.2134022947772494e-11,3.854345779519306e-9,A,JC8.8,259.2973205303105,-1.6827698383661513,0.6146554529138296,1.119285608923443e-4,0.0066501003592244565,B
B0303.3,367.1933641360483,-2.5350619466687077,0.4108920187633723,4.033361169221564e-11,4.794658089912134e-9,A,B0303.3,367.1933641360483,-1.2553405470731476,0.6633114966021243,5.06536960674578e-4,0.021976051376604622,B
T24B8.5,51.24829442234266,5.487636192541207,0.9342481018499105,5.2885628610812505e-11,5.9169685657509044e-9,A,T24B8.5,51.24829442234266,5.798291904322357,1.4452365581466724,1.3640681566453822e-7,2.6970534487376976e-5,B
B0272.3,108.99883715051736,-2.156708698541604,0.36185720338587707,5.250547069066733e-11,5.9169685657509044e-9,A,B0272.3,108.99883715051736,-1.7265377110607436,0.43173868102383206,5.576532090750261e-6,6.227643846901749e-4,B
C33G8.2,733.7385399876977,3.709894739881793,0.5979966103911376,6.561087375608383e-11,7.2193650676735556e-9,A,C33G8.2,733.7385399876977,2.4881062478742093,0.7787340309634342,4.850152756773485e-5,0.0035888154846285274,B
cpg-9,70.77263858447732,4.168898792594045,0.6801904385130618,6.78275373181507e-11,7.402096982408676e-9,A,Y67D8C.8,70.77263858447732,5.622360461235598,1.2846101676875923,5.3063106894145017e-8,1.2307579466351597e-5,B
Y48A6B.9,70.65522866759994,-2.612132569563584,0.4290645215678062,7.766627301325858e-11,8.272390071188199e-9,A,Y48A6B.9,70.65522866759994,-1.9325196162165712,0.5297560453835954,1.7602027064732053e-5,0.0016330619109825638,B
dod-17,76.17416100920873,4.568935448976738,0.7582134290248561,7.741357540155984e-11,8.272390071188199e-9,A,K10D11.1,76.17416100920873,4.493193980672008,0.8797799650378741,1.2734895815102211e-8,3.571990195952274e-6,B
cdr-6,322.99806129001297,-2.617833802301547,0.4325380898291336,9.701034038575564e-11,1.0170044660598036e-8,A,K01D12.12,322.99806129001297,-2.48436135220295,0.4887598828591974,1.1171066632183838e-7,2.3230040457029182e-5,B
clec-80,61.046942643485686,4.707678259100871,0.8054641232124248,1.8883727473249923e-10,1.8762533401406678e-8,A,Y54G2A.39,61.046942643485686,4.293562775769817,0.9211956998813163,1.4461564449445078e-7,2.813240787496082e-5,B
clec-4,43.68640649949093,5.326872402354744,0.9458397775217687,2.684980837526243e-10,2.5931114947769592e-8,A,Y38E10A.5,43.68640649949093,2.767932834945512,1.0120711415370154,9.541229250855876e-5,0.005841460202770188,B
R03A10.5,30.06530967440299,-3.896482475973536,0.6557985858608694,2.747726885895096e-10,2.6318874646623964e-8,A,R03A10.5,30.06530967440299,-1.7238218475665015,1.1537589987675156,0.001048321178611985,0.03914489701312431,B
gst-24,91.47479925158892,3.7533343278505114,0.6307987440071089,2.9237897610531695e-10,2.780524062761564e-8,A,F37B1.1,91.47479925158892,3.3775216609929615,1.089237098226937,3.417195144388405e-5,0.00278478315111274,B
C14C6.2,148.19459793491646,4.142820786161492,0.7061368604006545,3.344747722434671e-10,3.1141238584961685e-8,A,C14C6.2,148.19459793491646,5.150862833794908,0.7875956042709706,9.880407085669387e-13,6.271978413697814e-10,B
